Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ACSI,24,0,0.00,0,0.00,52.30,24,0
VWID,22,0,0.00,0,0.00,28.92,22,0
IBHB,20,0,0.00,0,0.00,24.18,20,0
EUCG,18,0,0.00,0,0.00,27.44,18,0
BALT,17,0,0.00,0,0.00,25.85,17,0
FLBL,17,0,0.00,0,0.00,25.00,17,0
PEX,16,0,0.00,0,0.00,37.95,16,0
ESHY,12,0,0.00,0,0.00,20.98,12,0
TEGS,12,0,0.00,0,0.00,30.54,12,0
ICOW,11,0,0.00,0,0.00,31.27,11,0
BAUG,10,0,0.00,0,0.00,32.82,10,0
DECZ,10,0,0.00,0,0.00,30.06,10,0
EMDV,9,0,0.00,0,0.00,57.22,9,0
HYMU,9,0,0.00,0,0.00,26.02,9,0
XDAT,9,0,0.00,0,0.00,29.63,9,0
FLIA,6,0,0.00,0,0.00,25.06,6,0
IAUF,6,0,0.00,0,0.00,54.70,6,0
SLT,6,0,0.00,0,0.00,44.42,6,0
SHAG,5,0,0.00,0,0.00,50.76,5,0
EOPS,4,0,0.00,0,0.00,26.79,4,0
JUNZ,4,0,0.00,0,0.00,26.84,4,0
SMI,4,0,0.00,0,0.00,49.64,4,0
YJUN,3,0,0.00,0,0.00,20.46,3,0
GOVZ,2,0,0.00,0,0.00,21.87,2,0
IMFL,2,0,0.00,0,0.00,26.72,2,0
OBND,2,0,0.00,0,0.00,29.89,2,0
WDNA,2,0,0.00,0,0.00,26.05,2,0
BLDG,1,0,0.00,0,0.00,32.57,1,0
IBMQ,1,0,0.00,0,0.00,27.05,1,0
KNGS,1,0,0.00,0,0.00,28.72,1,0
MAAX,1,0,0.00,0,0.00,24.58,1,0
PSMJ,1,0,0.00,0,0.00,21.09,1,0
REC,1,0,0.00,0,0.00,24.69,1,0
RTAI,1,0,0.00,0,0.00,27.59,1,0
TCTL,1,0,0.00,0,0.00,34.15,1,0
TSOC,1,0,0.00,0,0.00,32.00,1,0
WFIG,1,0,0.00,0,0.00,54.06,1,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
